File Name, Number of Robots, Number of Rounds, Algorithm, Graph Type, Link Density, Distribution, Seed, Final Cumulative Signal Strength
R10H50T0DnormalS6A1,10,50,LAH0,full,null,normal,5784,247050
R10H50T0DnormalS4A1,10,50,LAH0,full,null,normal,10086,247943
R10H50T0DnormalS14A1,10,50,LAH0,full,null,normal,11493,245260
R10H50T0DnormalS2A1,10,50,LAH0,full,null,normal,13003,245298
R10H50T0DnormalS9A1,10,50,LAH0,full,null,normal,13494,244211
R10H50T0DnormalS0A1,10,50,LAH0,full,null,normal,16430,249829
R10H50T0DnormalS19A1,10,50,LAH0,full,null,normal,18962,254325
R10H50T0DnormalS17A1,10,50,LAH0,full,null,normal,19695,246328
R10H50T0DnormalS16A1,10,50,LAH0,full,null,normal,20915,251254
R10H50T0DnormalS3A1,10,50,LAH0,full,null,normal,23091,249249
R10H50T0DnormalS7A1,10,50,LAH0,full,null,normal,27181,247879
R10H50T0DnormalS10A1,10,50,LAH0,full,null,normal,27917,250513
R10H50T0DnormalS12A1,10,50,LAH0,full,null,normal,39103,254349
R10H50T0DnormalS1A1,10,50,LAH0,full,null,normal,42904,245275
R10H50T0DnormalS11A1,10,50,LAH0,full,null,normal,46068,246509
R10H50T0DnormalS13A1,10,50,LAH0,full,null,normal,51660,249390
R10H50T0DnormalS5A1,10,50,LAH0,full,null,normal,53699,244126
R10H50T0DnormalS15A1,10,50,LAH0,full,null,normal,54377,247084
R10H50T0DnormalS18A1,10,50,LAH0,full,null,normal,61581,247109
R10H50T0DnormalS8A0,10,50,MPGM,full,null,normal,2764,246410
R10H50T0DnormalS6A0,10,50,MPGM,full,null,normal,5784,246462
R10H50T0DnormalS4A0,10,50,MPGM,full,null,normal,10086,247284
R10H50T0DnormalS14A0,10,50,MPGM,full,null,normal,11493,243964
R10H50T0DnormalS2A0,10,50,MPGM,full,null,normal,13003,244579
R10H50T0DnormalS9A0,10,50,MPGM,full,null,normal,13494,243767
R10H50T0DnormalS0A0,10,50,MPGM,full,null,normal,16430,248609
R10H50T0DnormalS19A0,10,50,MPGM,full,null,normal,18962,252136
R10H50T0DnormalS17A0,10,50,MPGM,full,null,normal,19695,249363
R10H50T0DnormalS16A0,10,50,MPGM,full,null,normal,20915,249343
R10H50T0DnormalS3A0,10,50,MPGM,full,null,normal,23091,247562
R10H50T0DnormalS7A0,10,50,MPGM,full,null,normal,27181,247860
R10H50T0DnormalS10A0,10,50,MPGM,full,null,normal,27917,249520
R10H50T0DnormalS12A0,10,50,MPGM,full,null,normal,39103,252701
R10H50T0DnormalS1A0,10,50,MPGM,full,null,normal,42904,243774
R10H50T0DnormalS11A0,10,50,MPGM,full,null,normal,46068,246433
R10H50T0DnormalS13A0,10,50,MPGM,full,null,normal,51660,248106
R10H50T0DnormalS5A0,10,50,MPGM,full,null,normal,53699,244691
R10H50T0DnormalS15A0,10,50,MPGM,full,null,normal,54377,246408
R10H50T0DnormalS18A0,10,50,MPGM,full,null,normal,61581,247601
R10H60T0DnormalS8A1,10,60,LAH0,full,null,normal,2764,299458
R10H60T0DnormalS6A1,10,60,LAH0,full,null,normal,5784,300257
R10H60T0DnormalS4A1,10,60,LAH0,full,null,normal,10086,295430
R10H60T0DnormalS14A1,10,60,LAH0,full,null,normal,11493,297582
R10H60T0DnormalS2A1,10,60,LAH0,full,null,normal,13003,295574
R10H60T0DnormalS9A1,10,60,LAH0,full,null,normal,13494,295877
R10H60T0DnormalS0A1,10,60,LAH0,full,null,normal,16430,297394
R10H60T0DnormalS19A1,10,60,LAH0,full,null,normal,18962,299130
R10H60T0DnormalS17A1,10,60,LAH0,full,null,normal,19695,294887
R10H60T0DnormalS16A1,10,60,LAH0,full,null,normal,20915,300070
R10H60T0DnormalS3A1,10,60,LAH0,full,null,normal,23091,294541
R10H60T0DnormalS7A1,10,60,LAH0,full,null,normal,27181,300288
R10H60T0DnormalS10A1,10,60,LAH0,full,null,normal,27917,292896
R10H60T0DnormalS12A1,10,60,LAH0,full,null,normal,39103,290216
R10H60T0DnormalS1A1,10,60,LAH0,full,null,normal,42904,295297
R10H60T0DnormalS11A1,10,60,LAH0,full,null,normal,46068,292422
R10H60T0DnormalS13A1,10,60,LAH0,full,null,normal,51660,294287
R10H60T0DnormalS5A1,10,60,LAH0,full,null,normal,53699,296805
R10H60T0DnormalS15A1,10,60,LAH0,full,null,normal,54377,300255
