File Name, Number of Robots, Number of Rounds, Algorithm, Graph Type, Link Density, Distribution, Seed, Final Cumulative Signal Strength
R10H10T8DnormalS9A0,10,10,LAH0,random,6.0,normal,59237,0.0
R10H10T1DnormalS9A0,10,10,LAH0,random,0.5,normal,59237,11502.0
R10H10T2DnormalS9A0,10,10,LAH0,random,0.8,normal,59237,11502.0
R10H10T3DnormalS9A0,10,10,LAH0,random,1.0,normal,59237,11502.0
R10H10T4DnormalS9A0,10,10,LAH0,random,1.2,normal,59237,14630.0
R10H10T5DnormalS9A0,10,10,LAH0,random,1.5,normal,59237,18940.0
R10H10T6DnormalS9A0,10,10,LAH0,random,2.0,normal,59237,23679.0
R10H10T7DnormalS9A0,10,10,LAH0,random,3.0,normal,59237,33769.0
R10H20T0DnormalS7A0,10,20,LAH0,chain,null,normal,5312,21616.0
R10H20T0DnormalS2A0,10,20,LAH0,chain,null,normal,5680,21363.0
R10H20T0DnormalS6A0,10,20,LAH0,chain,null,normal,6325,22271.0
R10H20T0DnormalS3A0,10,20,LAH0,chain,null,normal,28060,21149.0
R10H20T0DnormalS1A0,10,20,LAH0,chain,null,normal,30125,21128.0
R10H20T0DnormalS4A0,10,20,LAH0,chain,null,normal,33626,22486.0
R10H20T0DnormalS5A0,10,20,LAH0,chain,null,normal,34445,21147.0
R10H20T0DnormalS0A0,10,20,LAH0,chain,null,normal,36223,21216.0
R10H20T0DnormalS8A0,10,20,LAH0,chain,null,normal,37611,22056.0
R10H20T0DnormalS9A0,10,20,LAH0,chain,null,normal,59237,21830.0
R10H20T9DnormalS7A0,10,20,LAH0,full,null,normal,5312,100020.0
R10H20T9DnormalS2A0,10,20,LAH0,full,null,normal,5680,98178.0
R10H20T9DnormalS6A0,10,20,LAH0,full,null,normal,6325,99333.0
R10H20T9DnormalS3A0,10,20,LAH0,full,null,normal,28060,99433.0
R10H20T9DnormalS1A0,10,20,LAH0,full,null,normal,30125,100616.0
R10H20T9DnormalS4A0,10,20,LAH0,full,null,normal,33626,101730.0
R10H20T9DnormalS5A0,10,20,LAH0,full,null,normal,34445,99464.0
R10H20T9DnormalS0A0,10,20,LAH0,full,null,normal,36223,100864.0
R10H20T9DnormalS8A0,10,20,LAH0,full,null,normal,37611,100040.0
R10H20T9DnormalS9A0,10,20,LAH0,full,null,normal,59237,102340.0
R10H20T8DnormalS7A0,10,20,LAH0,random,6.0,normal,5312,0.0
R10H20T2DnormalS7A0,10,20,LAH0,random,0.8,normal,5312,20806.0
R10H20T1DnormalS7A0,10,20,LAH0,random,0.5,normal,5312,20806.0
R10H20T3DnormalS7A0,10,20,LAH0,random,1.0,normal,5312,23739.0
R10H20T4DnormalS7A0,10,20,LAH0,random,1.2,normal,5312,28252.0
R10H20T5DnormalS7A0,10,20,LAH0,random,1.5,normal,5312,34874.0
R10H20T6DnormalS7A0,10,20,LAH0,random,2.0,normal,5312,44452.0
R10H20T7DnormalS7A0,10,20,LAH0,random,3.0,normal,5312,66530.0
R10H20T8DnormalS2A0,10,20,LAH0,random,6.0,normal,5680,0.0
R10H20T2DnormalS2A0,10,20,LAH0,random,0.8,normal,5680,24984.0
R10H20T1DnormalS2A0,10,20,LAH0,random,0.5,normal,5680,24984.0
R10H20T3DnormalS2A0,10,20,LAH0,random,1.0,normal,5680,24984.0
R10H20T4DnormalS2A0,10,20,LAH0,random,1.2,normal,5680,28967.0
R10H20T5DnormalS2A0,10,20,LAH0,random,1.5,normal,5680,34943.0
R10H20T6DnormalS2A0,10,20,LAH0,random,2.0,normal,5680,45832.0
R10H20T7DnormalS2A0,10,20,LAH0,random,3.0,normal,5680,67579.0
R10H20T8DnormalS6A0,10,20,LAH0,random,6.0,normal,6325,0.0
R10H20T2DnormalS6A0,10,20,LAH0,random,0.8,normal,6325,27597.0
R10H20T1DnormalS6A0,10,20,LAH0,random,0.5,normal,6325,27597.0
R10H20T4DnormalS6A0,10,20,LAH0,random,1.2,normal,6325,27597.0
R10H20T3DnormalS6A0,10,20,LAH0,random,1.0,normal,6325,27597.0
R10H20T5DnormalS6A0,10,20,LAH0,random,1.5,normal,6325,35975.0
R10H20T6DnormalS6A0,10,20,LAH0,random,2.0,normal,6325,45000.0
R10H20T7DnormalS6A0,10,20,LAH0,random,3.0,normal,6325,65087.0
R10H20T8DnormalS3A0,10,20,LAH0,random,6.0,normal,28060,0.0
R10H20T2DnormalS3A0,10,20,LAH0,random,0.8,normal,28060,29457.0
R10H20T1DnormalS3A0,10,20,LAH0,random,0.5,normal,28060,29457.0
R10H20T3DnormalS3A0,10,20,LAH0,random,1.0,normal,28060,29457.0
R10H20T4DnormalS3A0,10,20,LAH0,random,1.2,normal,28060,29457.0
R10H20T5DnormalS3A0,10,20,LAH0,random,1.5,normal,28060,33700.0
R10H20T6DnormalS3A0,10,20,LAH0,random,2.0,normal,28060,45504.0
R10H20T7DnormalS3A0,10,20,LAH0,random,3.0,normal,28060,67068.0
R10H20T8DnormalS1A0,10,20,LAH0,random,6.0,normal,30125,0.0
R10H20T1DnormalS1A0,10,20,LAH0,random,0.5,normal,30125,26200.0
R10H20T3DnormalS1A0,10,20,LAH0,random,1.0,normal,30125,26200.0
R10H20T2DnormalS1A0,10,20,LAH0,random,0.8,normal,30125,26200.0
