REBID Simulation, MPGM Simulation, Be-Rebid Final Cumulative Signal Strength, MPGM Final  Cumulative Signal Stregnth
R40H60T9DnormalS6A0,R40H60T9DnormalS6A0,4864882,4864946
R40H60T9DnormalS1A0,R40H60T9DnormalS1A0,4871544,4871673
R40H60T9DnormalS4A0,R40H60T9DnormalS4A0,4882904,4883401
R40H60T9DnormalS8A0,R40H60T9DnormalS8A0,4888593,4889762
R40H60T9DnormalS9A0,R40H60T9DnormalS9A0,4864078,4864110
R40H70T9DnormalS6A0,R40H70T9DnormalS6A0,5673458,5673894
R40H70T9DnormalS8A0,R40H70T9DnormalS8A0,5650567,5651272
R40H70T9DnormalS9A0,R40H70T9DnormalS9A0,5713151,5713512
R50H10T9DnormalS7A0,R50H10T9DnormalS7A0,1347453,1347538
R50H10T9DnormalS2A0,R50H10T9DnormalS2A0,1352197,1352741
R50H10T9DnormalS6A0,R50H10T9DnormalS6A0,1349120,1349379
R50H10T9DnormalS3A0,R50H10T9DnormalS3A0,1352777,1352841
R50H10T9DnormalS1A0,R50H10T9DnormalS1A0,1359200,1359298
R50H10T9DnormalS5A0,R50H10T9DnormalS5A0,1341284,1341462
R50H10T9DnormalS0A0,R50H10T9DnormalS0A0,1349847,1349994
R50H10T9DnormalS8A0,R50H10T9DnormalS8A0,1350688,1351343
R50H10T9DnormalS9A0,R50H10T9DnormalS9A0,1348430,1348508
R50H20T9DnormalS7A0,R50H20T9DnormalS7A0,2589217,2589263
R50H20T9DnormalS2A0,R50H20T9DnormalS2A0,2558961,2559097
R50H20T9DnormalS3A0,R50H20T9DnormalS3A0,2606334,2606369
R50H20T9DnormalS4A0,R50H20T9DnormalS4A0,2586855,2586911
R50H20T9DnormalS8A0,R50H20T9DnormalS8A0,2590899,2591225
R50H30T9DnormalS2A0,R50H30T9DnormalS2A0,3825559,3825840
R50H30T9DnormalS6A0,R50H30T9DnormalS6A0,3844872,3845058
R50H30T9DnormalS1A0,R50H30T9DnormalS1A0,3841823,3841835
R50H30T9DnormalS4A0,R50H30T9DnormalS4A0,3837837,3837915
R50H30T9DnormalS5A0,R50H30T9DnormalS5A0,3834623,3834875
R50H30T9DnormalS0A0,R50H30T9DnormalS0A0,3834241,3834389
R50H30T9DnormalS8A0,R50H30T9DnormalS8A0,3843400,3844270
R50H30T9DnormalS9A0,R50H30T9DnormalS9A0,3852737,3852805
R50H40T9DnormalS6A0,R50H40T9DnormalS6A0,5058303,5058686
R50H40T9DnormalS4A0,R50H40T9DnormalS4A0,5068582,5068684
R50H40T9DnormalS5A0,R50H40T9DnormalS5A0,5064756,5072625
R50H40T9DnormalS9A0,R50H40T9DnormalS9A0,5089377,5089496
R50H50T9DnormalS7A0,R50H50T9DnormalS7A0,6341138,6341222
R50H50T9DnormalS2A0,R50H50T9DnormalS2A0,6323783,6323871
R50H50T9DnormalS6A0,R50H50T9DnormalS6A0,6363389,6364342
R50H50T9DnormalS3A0,R50H50T9DnormalS3A0,6334987,6334987
R50H50T9DnormalS4A0,R50H50T9DnormalS4A0,6337434,6337522
R50H50T9DnormalS5A0,R50H50T9DnormalS5A0,6329422,6329539
R50H60T9DnormalS7A0,R50H60T9DnormalS7A0,7606912,7607072
R50H60T9DnormalS6A0,R50H60T9DnormalS6A0,7606139,7606156
R50H60T9DnormalS4A0,R50H60T9DnormalS4A0,7643055,7652743
R50H60T9DnormalS8A0,R50H60T9DnormalS8A0,7628386,7628477
R50H60T9DnormalS9A0,R50H60T9DnormalS9A0,7616407,7617766
