REBID Simulation, MPGM Simulation, Be-Rebid Final Cumulative Signal Strength, MPGM Final  Cumulative Signal Stregnth,Difference,,Avg Win,Squares,Variance,StdDev
R40H30T9DnormalS2A0,R40H30T9DnormalS2A0,2446155,2446448,293,,,85849
R40H30T9DnormalS6A0,R40H30T9DnormalS6A0,2447531,2447626,95,,,9025
R40H30T9DnormalS3A0,R40H30T9DnormalS3A0,2449961,2450077,116,,,13456
R40H30T9DnormalS1A0,R40H30T9DnormalS1A0,2461484,2461583,99,,,9801
R40H30T9DnormalS5A0,R40H30T9DnormalS5A0,2447129,2447214,85,,,7225
R40H30T9DnormalS0A0,R40H30T9DnormalS0A0,2444150,2444254,104,,,10816
R40H30T9DnormalS9A0,R40H30T9DnormalS9A0,2452472,2452608,136,,,18496
R40H40T9DnormalS2A0,R40H40T9DnormalS2A0,3247522,3247576,54,,,2916
R40H40T9DnormalS6A0,R40H40T9DnormalS6A0,3238738,3238800,62,,,3844
R40H40T9DnormalS3A0,R40H40T9DnormalS3A0,3265930,3266003,73,,,5329
R40H40T9DnormalS5A0,R40H40T9DnormalS5A0,3257234,3259296,2062,,,4251844
R40H40T9DnormalS0A0,R40H40T9DnormalS0A0,3252287,3252316,29,,,841
R40H50T9DnormalS7A0,R40H50T9DnormalS7A0,4072834,4072868,34,,,1156
R40H50T9DnormalS6A0,R40H50T9DnormalS6A0,4075321,4075482,161,,,25921
R40H50T9DnormalS4A0,R40H50T9DnormalS4A0,4053363,4053490,127,,,16129
R40H50T9DnormalS8A0,R40H50T9DnormalS8A0,4058353,4058709,356,,,126736
R40H60T9DnormalS7A0,R40H60T9DnormalS7A0,4887048,4888774,1726,,,2979076
R40H60T9DnormalS6A0,R40H60T9DnormalS6A0,4864882,4864946,64,,,4096
R40H60T9DnormalS1A0,R40H60T9DnormalS1A0,4871544,4871673,129,,,16641
R40H60T9DnormalS4A0,R40H60T9DnormalS4A0,4882904,4883401,497,,,247009
R40H60T9DnormalS8A0,R40H60T9DnormalS8A0,4888593,4889762,1169,,,1366561
R40H60T9DnormalS9A0,R40H60T9DnormalS9A0,4864078,4864110,32,,,1024
R40H70T9DnormalS6A0,R40H70T9DnormalS6A0,5673458,5673894,436,,,190096
R40H70T9DnormalS8A0,R40H70T9DnormalS8A0,5650567,5651272,705,,,497025
R40H70T9DnormalS9A0,R40H70T9DnormalS9A0,5713151,5713512,361,,,130321
R50H10T9DnormalS7A0,R50H10T9DnormalS7A0,1347453,1347538,85,,,7225
R50H10T9DnormalS2A0,R50H10T9DnormalS2A0,1352197,1352741,544,,,295936
R50H10T9DnormalS6A0,R50H10T9DnormalS6A0,1349120,1349379,259,,,67081
R50H10T9DnormalS3A0,R50H10T9DnormalS3A0,1352777,1352841,64,,,4096
R50H10T9DnormalS1A0,R50H10T9DnormalS1A0,1359200,1359298,98,,,9604
R50H10T9DnormalS5A0,R50H10T9DnormalS5A0,1341284,1341462,178,,,31684
R50H10T9DnormalS0A0,R50H10T9DnormalS0A0,1349847,1349994,147,,,21609
R50H10T9DnormalS8A0,R50H10T9DnormalS8A0,1350688,1351343,655,,,429025
R50H10T9DnormalS9A0,R50H10T9DnormalS9A0,1348430,1348508,78,,,6084
R50H20T9DnormalS7A0,R50H20T9DnormalS7A0,2589217,2589263,46,,,2116
R50H20T9DnormalS2A0,R50H20T9DnormalS2A0,2558961,2559097,136,,,18496
R50H20T9DnormalS3A0,R50H20T9DnormalS3A0,2606334,2606369,35,,,1225
R50H20T9DnormalS4A0,R50H20T9DnormalS4A0,2586855,2586911,56,,,3136
R50H20T9DnormalS8A0,R50H20T9DnormalS8A0,2590899,2591225,326,,,106276
R50H30T9DnormalS2A0,R50H30T9DnormalS2A0,3825559,3825840,281,,,78961
R50H30T9DnormalS6A0,R50H30T9DnormalS6A0,3844872,3845058,186,,,34596
R50H30T9DnormalS1A0,R50H30T9DnormalS1A0,3841823,3841835,12,,,144
R50H30T9DnormalS4A0,R50H30T9DnormalS4A0,3837837,3837915,78,,,6084
R50H30T9DnormalS5A0,R50H30T9DnormalS5A0,3834623,3834875,252,,,63504
R50H30T9DnormalS0A0,R50H30T9DnormalS0A0,3834241,3834389,148,,,21904
R50H30T9DnormalS8A0,R50H30T9DnormalS8A0,3843400,3844270,870,,,756900
R50H30T9DnormalS9A0,R50H30T9DnormalS9A0,3852737,3852805,68,,,4624
R50H40T9DnormalS6A0,R50H40T9DnormalS6A0,5058303,5058686,383,,,146689
R50H40T9DnormalS4A0,R50H40T9DnormalS4A0,5068582,5068684,102,,,10404
R50H40T9DnormalS5A0,R50H40T9DnormalS5A0,5064756,5072625,7869,,,61921161
R50H40T9DnormalS9A0,R50H40T9DnormalS9A0,5089377,5089496,119,,,14161
R50H50T9DnormalS7A0,R50H50T9DnormalS7A0,6341138,6341222,84,,,7056
R50H50T9DnormalS2A0,R50H50T9DnormalS2A0,6323783,6323871,88,,,7744
R50H50T9DnormalS6A0,R50H50T9DnormalS6A0,6363389,6364342,953,,,908209
R50H50T9DnormalS3A0,R50H50T9DnormalS3A0,6334987,6334987,0,,,0
R50H50T9DnormalS4A0,R50H50T9DnormalS4A0,6337434,6337522,88,,,7744
R50H50T9DnormalS5A0,R50H50T9DnormalS5A0,6329422,6329539,117,,,13689
R50H60T9DnormalS7A0,R50H60T9DnormalS7A0,7606912,7607072,160,,,25600
R50H60T9DnormalS6A0,R50H60T9DnormalS6A0,7606139,7606156,17,,,289
R50H60T9DnormalS4A0,R50H60T9DnormalS4A0,7643055,7652743,9688,,,93857344
R50H60T9DnormalS8A0,R50H60T9DnormalS8A0,7628386,7628477,91,,,8281
R50H60T9DnormalS9A0,R50H60T9DnormalS9A0,7616407,7617766,1359,,,1846881
