File Name, Number of Robots, Number of Rounds, Algorithm, Graph Type, Link Density, Distribution, Seed, Final Cumulative Signal Strength
R10H20T4DnormalS6A0,10,20,MPGM,random,1.2,normal,6325,27398.0
R10H20T1DnormalS6A0,10,20,MPGM,random,0.5,normal,6325,27398.0
R10H20T5DnormalS6A0,10,20,MPGM,random,1.5,normal,6325,31559.0
R10H20T6DnormalS6A0,10,20,MPGM,random,2.0,normal,6325,42536.0
R10H20T7DnormalS6A0,10,20,MPGM,random,3.0,normal,6325,61942.0
R10H20T8DnormalS3A0,10,20,MPGM,random,6.0,normal,28060,0.0
R10H20T1DnormalS3A0,10,20,MPGM,random,0.5,normal,28060,28134.0
R10H20T3DnormalS3A0,10,20,MPGM,random,1.0,normal,28060,28134.0
R10H20T4DnormalS3A0,10,20,MPGM,random,1.2,normal,28060,28134.0
R10H20T2DnormalS3A0,10,20,MPGM,random,0.8,normal,28060,28134.0
R10H20T5DnormalS3A0,10,20,MPGM,random,1.5,normal,28060,30879.0
R10H20T6DnormalS3A0,10,20,MPGM,random,2.0,normal,28060,43835.0
R10H20T7DnormalS3A0,10,20,MPGM,random,3.0,normal,28060,65185.0
R10H20T8DnormalS1A0,10,20,MPGM,random,6.0,normal,30125,0.0
R10H20T1DnormalS1A0,10,20,MPGM,random,0.5,normal,30125,21791.0
R10H20T2DnormalS1A0,10,20,MPGM,random,0.8,normal,30125,21791.0
R10H20T3DnormalS1A0,10,20,MPGM,random,1.0,normal,30125,21791.0
R10H20T4DnormalS1A0,10,20,MPGM,random,1.2,normal,30125,24175.0
R10H20T5DnormalS1A0,10,20,MPGM,random,1.5,normal,30125,31637.0
R10H20T6DnormalS1A0,10,20,MPGM,random,2.0,normal,30125,43223.0
R10H20T7DnormalS1A0,10,20,MPGM,random,3.0,normal,30125,65225.0
R10H20T8DnormalS4A0,10,20,MPGM,random,6.0,normal,33626,0.0
R10H20T1DnormalS4A0,10,20,MPGM,random,0.5,normal,33626,36559.0
R10H20T2DnormalS4A0,10,20,MPGM,random,0.8,normal,33626,36559.0
R10H20T4DnormalS4A0,10,20,MPGM,random,1.2,normal,33626,36559.0
R10H20T5DnormalS4A0,10,20,MPGM,random,1.5,normal,33626,36559.0
R10H20T3DnormalS4A0,10,20,MPGM,random,1.0,normal,33626,36559.0
R10H20T6DnormalS4A0,10,20,MPGM,random,2.0,normal,33626,42268.0
R10H20T7DnormalS4A0,10,20,MPGM,random,3.0,normal,33626,67386.0
R10H20T8DnormalS5A0,10,20,MPGM,random,6.0,normal,34445,0.0
R10H20T1DnormalS5A0,10,20,MPGM,random,0.5,normal,34445,15120.0
R10H20T2DnormalS5A0,10,20,MPGM,random,0.8,normal,34445,16809.0
R10H20T3DnormalS5A0,10,20,MPGM,random,1.0,normal,34445,21720.0
R10H20T4DnormalS5A0,10,20,MPGM,random,1.2,normal,34445,27017.0
R10H20T5DnormalS5A0,10,20,MPGM,random,1.5,normal,34445,32808.0
R10H20T6DnormalS5A0,10,20,MPGM,random,2.0,normal,34445,43302.0
R10H20T7DnormalS5A0,10,20,MPGM,random,3.0,normal,34445,66739.0
R10H20T8DnormalS0A0,10,20,MPGM,random,6.0,normal,36223,0.0
R10H20T1DnormalS0A0,10,20,MPGM,random,0.5,normal,36223,28976.0
R10H20T4DnormalS0A0,10,20,MPGM,random,1.2,normal,36223,28976.0
R10H20T2DnormalS0A0,10,20,MPGM,random,0.8,normal,36223,28976.0
R10H20T3DnormalS0A0,10,20,MPGM,random,1.0,normal,36223,28976.0
R10H20T5DnormalS0A0,10,20,MPGM,random,1.5,normal,36223,33018.0
R10H20T6DnormalS0A0,10,20,MPGM,random,2.0,normal,36223,42942.0
R10H20T7DnormalS0A0,10,20,MPGM,random,3.0,normal,36223,65220.0
R10H20T8DnormalS8A0,10,20,MPGM,random,6.0,normal,37611,0.0
R10H20T1DnormalS8A0,10,20,MPGM,random,0.5,normal,37611,28653.0
R10H20T3DnormalS8A0,10,20,MPGM,random,1.0,normal,37611,28653.0
R10H20T4DnormalS8A0,10,20,MPGM,random,1.2,normal,37611,28653.0
R10H20T2DnormalS8A0,10,20,MPGM,random,0.8,normal,37611,28653.0
R10H20T5DnormalS8A0,10,20,MPGM,random,1.5,normal,37611,31184.0
R10H20T6DnormalS8A0,10,20,MPGM,random,2.0,normal,37611,41599.0
R10H20T7DnormalS8A0,10,20,MPGM,random,3.0,normal,37611,63094.0
R10H20T8DnormalS9A0,10,20,MPGM,random,6.0,normal,59237,0.0
R10H20T1DnormalS9A0,10,20,MPGM,random,0.5,normal,59237,21771.0
R10H20T2DnormalS9A0,10,20,MPGM,random,0.8,normal,59237,21771.0
R10H20T3DnormalS9A0,10,20,MPGM,random,1.0,normal,59237,21771.0
R10H20T4DnormalS9A0,10,20,MPGM,random,1.2,normal,59237,26232.0
R10H20T5DnormalS9A0,10,20,MPGM,random,1.5,normal,59237,31703.0
R10H20T6DnormalS9A0,10,20,MPGM,random,2.0,normal,59237,42192.0
R10H20T7DnormalS9A0,10,20,MPGM,random,3.0,normal,59237,65530.0
R10H30T0DnormalS7A0,10,30,MPGM,chain,null,normal,5312,30696.0
R10H30T0DnormalS2A0,10,30,MPGM,chain,null,normal,5680,31588.0
R10H30T0DnormalS6A0,10,30,MPGM,chain,null,normal,6325,30908.0
R10H30T0DnormalS3A0,10,30,MPGM,chain,null,normal,28060,30656.0
R10H30T0DnormalS1A0,10,30,MPGM,chain,null,normal,30125,30112.0
R10H30T0DnormalS4A0,10,30,MPGM,chain,null,normal,33626,31399.0
R10H30T0DnormalS5A0,10,30,MPGM,chain,null,normal,34445,30879.0
R10H30T0DnormalS0A0,10,30,MPGM,chain,null,normal,36223,30317.0
R10H30T0DnormalS8A0,10,30,MPGM,chain,null,normal,37611,30292.0
R10H30T0DnormalS9A0,10,30,MPGM,chain,null,normal,59237,30560.0
R10H30T9DnormalS7A0,10,30,MPGM,full,null,normal,5312,148962.0
R10H30T9DnormalS2A0,10,30,MPGM,full,null,normal,5680,147808.0
R10H30T9DnormalS6A0,10,30,MPGM,full,null,normal,6325,147057.0
R10H30T9DnormalS3A0,10,30,MPGM,full,null,normal,28060,145354.0
R10H30T9DnormalS1A0,10,30,MPGM,full,null,normal,30125,151751.0
R10H30T9DnormalS4A0,10,30,MPGM,full,null,normal,33626,149218.0
R10H30T9DnormalS5A0,10,30,MPGM,full,null,normal,34445,147472.0
R10H30T9DnormalS0A0,10,30,MPGM,full,null,normal,36223,148459.0
R10H30T9DnormalS8A0,10,30,MPGM,full,null,normal,37611,146307.0
R10H30T9DnormalS9A0,10,30,MPGM,full,null,normal,59237,149493.0
R10H30T8DnormalS7A0,10,30,MPGM,random,6.0,normal,5312,0.0
R10H30T1DnormalS7A0,10,30,MPGM,random,0.5,normal,5312,28314.0
R10H30T2DnormalS7A0,10,30,MPGM,random,0.8,normal,5312,28314.0
R10H30T3DnormalS7A0,10,30,MPGM,random,1.0,normal,5312,31659.0
R10H30T4DnormalS7A0,10,30,MPGM,random,1.2,normal,5312,37415.0
R10H30T5DnormalS7A0,10,30,MPGM,random,1.5,normal,5312,47041.0
R10H30T6DnormalS7A0,10,30,MPGM,random,2.0,normal,5312,63446.0
R10H30T7DnormalS7A0,10,30,MPGM,random,3.0,normal,5312,96593.0
R10H30T8DnormalS2A0,10,30,MPGM,random,6.0,normal,5680,0.0
R10H30T1DnormalS2A0,10,30,MPGM,random,0.5,normal,5680,30900.0
R10H30T2DnormalS2A0,10,30,MPGM,random,0.8,normal,5680,30900.0
R10H30T3DnormalS2A0,10,30,MPGM,random,1.0,normal,5680,30900.0
R10H30T4DnormalS2A0,10,30,MPGM,random,1.2,normal,5680,38122.0
R10H30T5DnormalS2A0,10,30,MPGM,random,1.5,normal,5680,49366.0
R10H30T6DnormalS2A0,10,30,MPGM,random,2.0,normal,5680,61573.0
R10H30T7DnormalS2A0,10,30,MPGM,random,3.0,normal,5680,94958.0
R10H30T8DnormalS6A0,10,30,MPGM,random,6.0,normal,6325,0.0
R10H30T2DnormalS6A0,10,30,MPGM,random,0.8,normal,6325,39252.0
R10H30T1DnormalS6A0,10,30,MPGM,random,0.5,normal,6325,39252.0
R10H30T3DnormalS6A0,10,30,MPGM,random,1.0,normal,6325,39252.0
R10H30T4DnormalS6A0,10,30,MPGM,random,1.2,normal,6325,39252.0
R10H30T5DnormalS6A0,10,30,MPGM,random,1.5,normal,6325,47041.0
R10H30T6DnormalS6A0,10,30,MPGM,random,2.0,normal,6325,62542.0
R10H30T7DnormalS6A0,10,30,MPGM,random,3.0,normal,6325,94496.0
R10H30T8DnormalS3A0,10,30,MPGM,random,6.0,normal,28060,0.0
R10H30T2DnormalS3A0,10,30,MPGM,random,0.8,normal,28060,42219.0
R10H30T1DnormalS3A0,10,30,MPGM,random,0.5,normal,28060,42219.0
R10H30T3DnormalS3A0,10,30,MPGM,random,1.0,normal,28060,42219.0
R10H30T4DnormalS3A0,10,30,MPGM,random,1.2,normal,28060,42219.0
R10H30T5DnormalS3A0,10,30,MPGM,random,1.5,normal,28060,47452.0
R10H30T6DnormalS3A0,10,30,MPGM,random,2.0,normal,28060,63931.0
R10H30T7DnormalS3A0,10,30,MPGM,random,3.0,normal,28060,92014.0
R10H30T8DnormalS1A0,10,30,MPGM,random,6.0,normal,30125,0.0
R10H30T1DnormalS1A0,10,30,MPGM,random,0.5,normal,30125,33664.0
R10H30T2DnormalS1A0,10,30,MPGM,random,0.8,normal,30125,33664.0
R10H30T3DnormalS1A0,10,30,MPGM,random,1.0,normal,30125,33664.0
R10H30T4DnormalS1A0,10,30,MPGM,random,1.2,normal,30125,37105.0
R10H30T5DnormalS1A0,10,30,MPGM,random,1.5,normal,30125,46079.0
R10H30T6DnormalS1A0,10,30,MPGM,random,2.0,normal,30125,62330.0
R10H30T7DnormalS1A0,10,30,MPGM,random,3.0,normal,30125,97176.0
R10H30T8DnormalS4A0,10,30,MPGM,random,6.0,normal,33626,0.0
